time,glucose
1679670060,79.0
1679670360,77.0
1679670660,77.0
1679670960,79.0
1679671260,79.0
1679671560,77.0
1679671860,78.0
1679672160,81.0
1679672460,80.0
1679672760,81.0
1679673060,81.0
1679673060,146.0
1679673360,148.0
1679673360,79.0
1679673660,151.0
1679673660,79.0
1679673960,82.0
1679673960,154.0
1679674260,84.0
1679674260,152.0
1679674560,90.0
1679674560,153.0
1679674860,100.0
1679674860,152.0
1679675160,114.0
1679675160,150.0
1679675460,122.0
1679675460,150.0
1679675760,128.0
1679675760,151.0
1679676060,137.0
1679676060,151.0
1679676360,143.0
1679676360,150.0
1679676660,148.0
1679676960,145.0
1679677260,144.0
1679677560,140.0
1679677860,135.0
1679678160,133.0
1679678460,132.0
1679678760,130.0
1679679060,127.0
1679679360,123.0
1679679660,116.0
1679679960,110.0
1679680260,105.0
1679680560,100.0
1679680860,100.0
1679681160,102.0
1679681460,105.0
1679681760,104.0
1679682060,108.0
1679682360,112.0
1679682660,113.0
1679682960,110.0
1679683260,104.0
1679683560,98.0
1679683860,91.0
1679684160,82.0
1679684460,76.0
1679684760,71.0
1679685060,70.0
1679685360,69.0
1679685660,68.0
1679685960,69.0
1679686260,69.0
1679686560,65.0
1679686860,62.0
1679687160,63.0
1679687460,63.0
1679687760,62.0
1679688060,62.0
1679688360,67.0
1679688660,71.0
1679688960,72.0
1679689260,70.0
1679689560,70.0
1679689860,76.0
1679690160,69.0
1679690460,66.0
1679690760,67.0
1679691060,69.0
1679691360,70.0
1679691660,71.0
1679691960,71.0
1679692260,75.0
1679692560,78.0
1679692860,73.0
1679693160,76.0
1679693460,82.0
1679693760,89.0
1679694060,97.0
1679694360,117.0
1679694660,147.0
1679694960,163.0
1679695260,173.0
1679695560,181.0
1679695860,185.0
1679696160,182.0
1679696460,172.0
1679696760,157.0
1679697060,147.0
1679697360,122.0
1679697660,111.0
1679697960,99.0
1679698260,95.0
1679698560,91.0
1679698860,84.0
1679699160,93.0
1679699460,92.0
1679699760,92.0
1679700060,89.0
1679700360,87.0
1679700660,88.0
1679700960,90.0
1679701260,94.0
1679701560,101.0
1679701860,109.0
1679702160,116.0
1679702460,120.0
1679702760,124.0
1679703060,128.0
1679703360,128.0
1679703660,127.0
1679703960,126.0
1679704260,119.0
1679704560,114.0
1679704860,111.0
1679705160,112.0
1679705460,112.0
1679705760,111.0
1679706060,111.0
1679706360,105.0
1679706660,102.0
1679706960,100.0
1679707260,92.0
1679707560,90.0
1679707860,91.0
1679708160,86.0
1679708460,83.0
1679708760,82.0
1679709060,81.0
1679709360,80.0
1679709660,84.0
1679709960,95.0
1679710260,104.0
1679710560,110.0
1679710860,112.0
1679711160,113.0
1679711460,112.0
1679711760,108.0
1679712060,107.0
1679712360,105.0
1679712660,102.0
1679712960,104.0
1679713260,104.0
1679713560,101.0
1679713860,101.0
1679714160,101.0
1679714460,101.0
1679714760,103.0
1679715060,104.0
1679715360,103.0
1679715660,103.0
1679715960,104.0
1679716260,103.0
1679716560,93.0
1679716860,89.0
1679717160,89.0
1679717460,85.0
1679717760,75.0
1679718060,88.0
1679718360,94.0
1679718660,88.0
1679718960,83.0
1679719260,87.0
1679719560,74.0
1679719860,61.0
1679720160,76.0
1679720460,80.0
1679720760,76.0
1679721060,78.0
1679721360,85.0
1679721660,88.0
1679721960,94.0
1679722260,103.0
1679722560,102.0
